ID	chromosome	start	end	group	n_snps	ratio_father	ratio_mother	ratio_proband	n_mendelian_error
NDT0002_01	chr1	817341	924305	iso_fat	62	1.13522294118308	1.0900376206384	1.17001813777831	0
NDT0002_01	chr1	924310	969785	het_mat	82	1.18956566471103	1.12815143640113	1.14602109171523	0
NDT0002_01	chr1	973693	1023851	iso_mat	88	1.10804407243612	1.09169644447981	1.13670498431504	0
NDT0002_01	chr1	1025029	1086657	het_fat	99	1.16303373832972	1.142745312969	1.15178628152444	0
NDT0002_01	chr1	1280044	1679100	het_mat	183	1.13847264973634	1.07912501760897	1.10683001749945	0
NDT0002_01	chr1	1680672	1874867	het_fat	49	1.03409206353683	0.947748384422088	0.981918595428274	0
NDT0002_01	chr1	1877316	1933859	het_mat	50	1.13534070289897	1.09941840543072	1.15540919145688	0
NDT0002_01	chr1	2051689	2102533	iso_mat	81	1.14701365125556	1.06972617712391	1.10990795011856	0
NDT0002_01	chr1	2103940	2141561	het_mat	55	1.07991775715676	1.03588925944153	1.02590205647969	0
NDT0002_01	chr1	2344583	2368212	het_fat	43	1.11725743289841	1.15849019120411	1.04459594925908	0
NDT0002_01	chr1	2860196	2878972	het_fat	30	1.25216032506221	1.16222818387863	1.15406334499042	0
NDT0002_01	chr1	2879436	2961758	iso_fat	131	1.14116496364137	1.12947739779727	1.14191476906225	0
NDT0002_01	chr1	2966572	2985564	het_mat	33	1.16819622163238	1.12738381859794	1.07259885054327	0
NDT0002_01	chr1	2987492	3131734	het_fat	59	1.2195523055283	1.12408798743689	1.14396949649196	0
NDT0002_01	chr1	3249159	3319624	het_mat	38	1.104790834603	1.12058058938354	1.05099983926932	0
NDT0002_01	chr1	3436308	3495402	het_fat	60	1.17488901248549	1.09175264506897	1.11424872035761	0
NDT0002_01	chr1	3499885	3533378	het_mat	26	1.21453092753848	1.20550263753369	1.07279492374642	0
NDT0002_01	chr1	3533691	3573255	iso_mat	44	1.19806487502639	1.10687060355366	1.11873487524582	0
NDT0002_01	chr1	3720895	3872798	het_fat	145	1.03526354813629	1.03577298236051	1.06530709095225	0
NDT0002_01	chr1	3873098	3932817	het_mat	60	1.14690097800888	0.997785259989421	1.11649179780171	0
NDT0002_01	chr1	3939577	3950829	iso_fat	11	1.05535908658835	0.883473261633079	1.03385478559969	0
NDT0002_01	chr1	3951330	4040244	het_mat	81	1.11411306322348	1.07018410785042	1.0525848598804	0
NDT0002_01	chr1	4154905	4225366	het_mat	93	0.997834272644329	1.03619383037635	1.03941314466205	0
NDT0002_01	chr1	4225637	4307966	iso_fat	18	1.11140890530303	1.04270826425991	0.985084844201412	0
NDT0002_01	chr1	4308381	4319898	het_mat	9	1.19253364291639	1.12513579503144	1.17761565815349	0
NDT0002_01	chr1	4320284	4455217	iso_mat	67	1.07883792855976	0.999280027898188	0.998839037981788	0
NDT0002_01	chr1	4516910	4562580	het_fat	27	1.04515703625212	1.06743652349137	0.984461767133605	0
NDT0002_01	chr1	4572500	4612695	het_mat	89	1.06770181352145	0.996910046319993	1.00258000816149	0
NDT0002_01	chr1	4625706	4672413	iso_fat	50	1.07182003334771	1.06900264657603	1.02755377714307	0
NDT0002_01	chr1	4784316	4824443	het_fat	35	1.1275179603434	0.96546189256544	1.04976024383968	0
NDT0002_01	chr1	4841082	4872384	iso_mat	104	1.00040842297245	0.996144635098103	1.0210315981133	0
NDT0002_01	chr1	4978033	5030655	het_fat	37	1.06361108692543	0.927309721179759	0.985741601110721	0
NDT0002_01	chr1	5031767	5119746	iso_mat	53	0.974644842930321	0.967901391993665	1.02335118110158	0
NDT0002_01	chr1	5143226	5206458	het_fat	41	1.09162238393392	1.0729651993358	1.06765015418654	0
