ID	chromosome	start	end	group	n_snps	ratio_father	ratio_mother	ratio_proband	n_mendelian_error
NDT0001_01	chr1	973693	1023789	het_mat	59	1.13815174348882	1.66515805994491	1.64281816066494	0
NDT0001_01	chr1	1026447	1091690	het_fat	83	1.01622096812849	1.6760980253657	1.53603811152429	0
NDT0001_01	chr1	1095185	1294300	het_mat	64	1.11038102938341	1.62327036496321	1.5559488541767	0
NDT0001_01	chr1	1302224	1426810	het_fat	151	1.06887062673168	1.14650132194015	1.10458650917764	0
NDT0001_01	chr1	1428969	1579717	het_mat	78	0.978358253674495	1.08348501813797	0.965106248988725	0
NDT0001_01	chr1	1584321	1602057	het_fat	27	1.09035886183925	1.08557265786464	0.990767524352684	0
NDT0001_01	chr1	1913254	1945913	iso_mat	67	1.10668204090453	1.10542081466888	1.07586018853119	0
NDT0001_01	chr1	1948124	1992967	het_mat	26	1.04335408171581	1.10644905513126	1.04572450463859	0
NDT0001_01	chr1	1993887	2141561	iso_fat	111	1.08466089767189	1.12102491808769	1.05616344359015	0
NDT0001_01	chr1	2152298	2368212	het_mat	75	1.05860339528901	1.10402739304833	1.07655768339779	0
NDT0001_01	chr1	2434446	2870129	het_fat	191	1.05224347162611	1.13644111486929	1.0439444817851	0
NDT0001_01	chr1	3239902	3347733	het_mat	87	1.10069563196399	1.11520754363968	1.09809902714034	0
NDT0001_01	chr1	3356261	3377101	iso_mat	21	1.10824131188236	1.0571409930158	1.03576522364203	0
NDT0001_01	chr1	3378408	3424291	het_mat	78	1.07186102383919	1.11027639463015	1.08504242440225	0
NDT0001_01	chr1	3576700	3593106	iso_fat	37	1.10736372365123	1.11051148919396	1.09632969457742	0
NDT0001_01	chr1	3595952	3665681	iso_mat	106	1.08240321375652	1.12346528837501	1.07996793784959	0
NDT0001_01	chr1	3723079	3774906	iso_mat	63	1.09035886183925	1.10538866669867	1.03331080368079	0
NDT0001_01	chr1	3786773	3870142	het_mat	56	1.02653498586301	1.09381137892879	0.965047248508887	0
NDT0001_01	chr1	3884683	5030937	het_mat	1535	1.03840594512991	1.06124451491314	1.04386800745543	0
NDT0001_01	chr1	5031767	5081394	iso_fat	16	1.02282908338697	0.938002624686162	1.02602424442087	0
NDT0001_01	chr1	5083184	5250995	het_mat	207	1.01774465680149	1.0061213256586	1.01865542652094	0
NDT0001_01	chr1	5252306	5302568	iso_mat	101	1.04939416648254	1.10868138275977	1.05280035624428	0
NDT0001_01	chr1	5304574	5315879	het_fat	6	1.09694713290777	1.09009587727241	0.970723094669248	0
NDT0001_01	chr1	5318356	5480747	iso_fat	86	1.07212620469615	1.07768332168829	1.06232147682727	0
NDT0001_01	chr1	5481145	5511296	het_mat	40	1.06433519111862	1.03468643952723	1.06693635714974	0
NDT0001_01	chr1	5518737	5617715	iso_fat	76	1.07081076807675	1.02486629212878	1.01830977641771	0
NDT0001_01	chr1	5619309	13873173	het_fat	6444	1.02145806049702	1.05260453726499	1.0148752302848	0
NDT0001_01	chr1	13875958	13907531	iso_mat	53	1.03485578576204	1.0328302126948	0.999736191003493	0
NDT0001_01	chr1	13908449	14049115	het_mat	147	0.996307930973409	1.0085856173324	1.00298118558836	0
NDT0001_01	chr1	14050160	14181308	het_fat	175	1.0588292788685	1.04447597867405	1.01583533355678	0
NDT0001_01	chr1	14182178	14286228	iso_mat	81	1.02557419633219	0.998458802603894	0.991085689903215	0
NDT0001_01	chr1	14290131	14302918	het_fat	4	1.04506449824321	0.983800221189826	0.947099302542342	0
NDT0001_01	chr1	14326287	14379360	iso_mat	62	1.05438902705389	1.04530141410514	1.0250370331663	0
NDT0001_01	chr1	14380313	14392461	het_fat	25	0.967685254543501	1.06603235002307	0.970035857080102	0
NDT0001_01	chr1	14399600	14464135	iso_mat	73	1.03562206179741	1.07033002807955	1.01638203038651	0
NDT0001_01	chr1	14593399	14639926	het_mat	30	1.0346879713103	1.08195408233842	1.01968877289593	0
NDT0001_01	chr1	14671437	14759517	iso_fat	47	1.00169755437466	1.07575630936267	1.01221323635441	0
NDT0001_01	chr1	14776049	14883645	het_mat	81	1.02081600056048	1.08456749799624	0.983449716690477	0
NDT0001_01	chr1	14884349	14904530	iso_fat	19	1.01736775342228	1.08271588771236	1.02136165386951	0
NDT0001_01	chr1	14905350	15007084	het_mat	124	1.04721631258414	1.11293083976647	1.05995313648583	0
NDT0001_01	chr1	15007252	15041242	het_fat	48	1.04012329494182	1.05560632928816	0.953005250574068	0
NDT0001_01	chr1	15099886	15149019	iso_mat	117	1.00471133794856	1.07188701965651	0.988564839772087	0
NDT0001_01	chr1	15149901	15242975	het_fat	196	1.04294683968547	1.06244885252492	1.03480098722869	0
NDT0001_01	chr1	15359936	15472441	het_fat	85	1.0027736111637	1.08525337178879	1.04177133366482	0
NDT0001_01	chr1	15493273	15839115	iso_mat	521	1.00920046698756	1.04025364575608	0.997665182497107	0
NDT0001_01	chr1	16297583	16441011	iso_fat	72	1.01582904537667	1.0248861308104	1.00365322914918	0
NDT0001_01	chr1	16446892	16954508	het_mat	32	1.0904618035747	1.17038302176031	1.37232756082666	0
NDT0001_01	chr1	16958003	16996954	iso_fat	36	1.08377059077074	1.09461909668017	1.08096745792814	0
NDT0001_01	chr1	16999460	17086970	het_fat	227	1.02367801258853	1.05855289787814	1.03074285328082	0
NDT0001_01	chr1	17087810	17102690	het_mat	54	1.01404472196229	1.07451589931231	1.0380151086065	0
NDT0001_01	chr1	17104247	17229013	het_fat	244	1.01979145840661	1.04486368319471	1.0356093076199	0
NDT0001_01	chr1	17229592	17310365	iso_mat	61	0.995368953564514	1.05709862093704	1.01099972386922	0
NDT0001_01	chr1	17311650	17548912	het_mat	513	1.01031714754194	1.04266820242954	1.00448213413609	0
NDT0001_01	chr1	17683617	17716417	het_mat	47	1.05594565870477	1.10520535486857	1.00837494130865	0
NDT0001_01	chr1	17717879	17742623	iso_fat	14	1.08847649867682	1.12628163253456	1.04374208851605	0
NDT0001_01	chr1	17758612	17823835	het_mat	35	0.966499365751168	1.06386120470734	1.02128414587073	0
NDT0001_01	chr1	17833038	17914777	het_fat	51	1.03183951293656	1.10685839625414	1.0237818791254	0
NDT0001_01	chr1	18015874	18059809	het_fat	61	1.05077523320629	1.13807166344989	1.08239920290553	0
NDT0001_01	chr1	18111324	18202617	het_mat	122	1.07969342301932	1.05576390045606	1.01606950936292	0
NDT0001_01	chr1	18372453	18633513	het_fat	270	1.02612321892123	1.07330970747024	1.03257447769242	0
NDT0001_01	chr1	18790985	18849141	het_fat	78	1.04031334122265	1.11723519371902	1.05365416912874	0
NDT0001_01	chr1	18912596	19039058	het_mat	160	1.04117330064337	1.08642076150359	1.02602424442087	0
NDT0001_01	chr1	19067037	19144255	het_mat	64	0.986696534245584	1.06309791143228	1.01434657444905	0
NDT0001_01	chr1	19149298	19479765	het_fat	270	1.00690742830473	1.05230186622082	1.02579755146612	0
NDT0001_01	chr1	19493625	19534612	het_fat	77	0.952176293324292	1.00239241524903	0.953207461309511	0
NDT0001_01	chr1	19539821	19644744	het_mat	89	1.00234252138459	0.981894370315766	0.986263158131687	0
NDT0001_01	chr1	19648175	19720693	het_fat	100	1.0418033040643	1.05870473458249	1.03626837973408	0
NDT0001_01	chr1	19722592	19813543	iso_fat	77	1.06768494192813	1.0312940249714	0.990693147990222	0
NDT0001_01	chr1	19815035	19997907	het_fat	159	1.00483564494985	1.02788027447497	1.01270293796852	0
NDT0001_01	chr1	19998350	20099795	het_mat	104	1.02368429165067	1.01407099722644	1.03506901797995	0
NDT0001_01	chr1	20210733	20228828	het_mat	26	1.00458464042801	1.05425806196469	1.02094430310687	0
NDT0001_01	chr1	20230447	20281707	het_fat	124	1.04745540306646	1.07375392328305	1.01672367523308	0
NDT0001_01	chr1	20282621	20388707	iso_fat	89	1.08328942490618	1.09319606136088	1.05720692611239	0
NDT0001_01	chr1	20391270	20442905	het_fat	35	1.01393491744448	1.04757761483937	1.04042862156838	0
NDT0001_01	chr1	20443568	20475533	het_mat	17	1.11264271986511	1.09674767051912	1.12787816101081	0
NDT0001_01	chr1	20477572	20557323	het_fat	19	1.07042067307927	1.05986172649416	0.991521074340783	0
NDT0001_01	chr1	20558126	20621185	het_mat	171	1.0289839155694	1.00399599907188	0.982629184481214	0
NDT0001_01	chr1	20621809	20625064	iso_fat	6	0.785651324920428	0.931783198000479	0.828980341907809	0
NDT0001_01	chr1	20630560	20729889	het_mat	111	1.0587529668484	1.09706408014383	1.05732431789614	0
NDT0001_01	chr1	21334269	21352107	iso_fat	21	1.04188801040661	1.06231038662468	1.03944685358389	0
NDT0001_01	chr1	21355886	21500828	het_fat	102	0.955977509309392	0.956793940608145	0.994978538992061	0
